Artist	Title	Price	Slug
John Henry Dolph (American 1835 - 1903) Ernest De Nagy (Hungarian-American, 1881-1952)	A Day's Catch	$3,000	ernest_de_nagy_catch-html
John Henry Dolph (American 1835 - 1903) Ernest De Nagy (Hungarian-American, 1881-1952)	Little Yellow Friend	$3,000	ernest_de_nagy_friend-html
Frederick Debourg Richards (American 1822 - 1903)	Mountain Brook	$5,000	frederick_debourg_richards_brook-html
John Henry Dolph (American 1835 - 1903)	Ornery Duo	$5,300	john_henry_dolph_duo-html
John Henry Dolph (American 1835 - 1903)	Mischief	$2,800	john_henry_dolph_mischief-html
John Henry Dolph (American 1835 - 1903)	Stand-Off	$2,800	john_henry_dolph_standoff-html
Maximilienne Goepp Guyon (French, 1868- 1903)	Lady in a Hat	$3,800	maximilienne_goepp_guyon_lady-html
Maximilienne Goepp Guyon (French, 1868- 1903)	Lady Waving	$3,500	maximilienne_goepp_guyon_waving-html
Warren C. Briggs (American, 1867 - 1903)	Forest Interior with Birch Tree	$4,000	warren_c_briggs_forest-html
Warren C. Briggs (American, 1867 - 1903)	After a Shower		warren_c_briggs_shower-html
Hendrik-Dirk Kruseman Van Elten (Dutch-American 1829 - 1904)	Spring Stream	$6,000	hendrik_dirk_kruseman_van_elten_stream-html
James Fairman (American 1826 - 1904)	Landscape – Benevolent Guardian		james_fairman_benevolent_guardian-html
Peter Baumgras (American, 1827 - 1904)	Genesee River		peter_baumgras_genesee-html
Arthur Fitzwilliam Tait (British-American, 1819 - 1905)	Two Baby Chicks		arthur_fitzwilliam_tait_baby_chicks-html
Arthur Fitzwilliam Tait (British-American, 1819 - 1905)	Grouse Family	$30,000	arthur_fitzwilliam_tate_grouse_family-html
Christiana Patterson Ross (British, 1843 - 1906)	The Peddlers on the Road to Edinburgh	$3,500	christiana_patterson_ross_peddlers-html
Daniel Huntington (American, 1816 - 1906)	Crossing the Creek	$90,000	daniel_huntington_creek-html
Sylvester Phelps Hodgdon (American 1830 - 1906)	River Landscape in Autumn, 1857	$5,900	sylvester_phelps_hodgdon_river-html
George Albert Frost (1843 - 1907)	White Mountain Stream		george_albert_frost_stream-html
Thomas Corwin Lindsay (American 1838 - 1907)	Mill Pond		thomas_corwin_lindsay_pond-html
Thomas Corwin Lindsay (American 1838 - 1907)	Vigil	$19,000	thomas_corwin_lindsay_vigil-html
Alfred T. Bricher (American, 1837 - 1908)	Seascape		alfred_thompson_bricher_seascape-html
August Hermann Krüger (German 1834 - 1908)	Roses in a Vase		august_hermann_kruger_roses-html
David Johnson (1827 - 1908)	Lake George from Dresden		david_johnson_dresden-html
David Johnson (1827 - 1908)	Milk Maid		david_johnson_maid-html
Emil von Bott (American 1824 - 1908)	Campfire, 1852	$6,900	emil_von_bott_campfire-html
Emil von Bott (American 1824 - 1908)	Man on Path to the Lake, 1852	$6,900	emil_von_bott_path_to_lake-html
Jean Baptiste Jules Trayer (French 1824 - 1909)	Young Girl in Contemplation		jean_baptiste_jules_trayer_contemplation-html
John Bunyan Bristol (American 1826 - 1909)	Catskill Landscape		john_bunyan_bristol_catskill-html
Alfred Augustus Glendening, Sr. (English ca. 1840 - 1910)	The Watchful Shepherd		alfred_augustus_glendening_shepherd-html
Etienne Adolphe Piot (French, 1850 - 1910)	The Note	$11,550	etienn_adolphe_piot_note-html
Etienne Adolphe Piot (French, 1850 - 1910)	Young Woman with Roses	$18,000	etienn_adolphe_piot_woman-html
Sidney Brackett (American 1852 - 1910)	Hunter with Dogs		sidney_brackett_hunter-html
William Lewis Marple (American 1827 - 1910)	Reflections on the Lake	$5,800	william_lewis_marple_tahoe-html
William Wilson Cowell (1848 - 1910)	Sailing		william_wilson_cowell_sailing-html
William Wilson Cowell (1848 - 1910)	Schooner at Sunset		william_wilson_cowell_sunset-html
Charles Armor (American, 1844 - 1911)	Apples with Penknife		charles_armor_apple-html
Joseph Ryan Woodwell (American, 1843 - 1911)	Pre-civilization		joseph_ryan_woodwell_civilization-html
Joseph Ryan Woodwell (American, 1843 - 1911)	Pittsburgh Landscape		joseph_ryan_woodwell_pittsburgh-html
Joseph Ryan Woodwell (American, 1843 - 1911)	Post-civilization		joseph_ryan_woodwell_post_civilization-html
Otto Sommer (1811 - 1911)	Deer at Dusk		otto_sommer_deer-html
Paul De Longpre (American, 1855 - 1911)	Victorian Roses, 1902	$12,500	paul_de_longpre_roses-html
William Keith (American 1838 - 1911)	Old Forest Clearing		william_keith_forest-html
Eugene Alonzo Poole (American, 1841 - 1912)	Stone Bridge		eugene_alonzo_poole_bridge-html
Eugene Alonzo Poole (American, 1841 - 1912)	Rocky Coastline	$6,500	eugene_alonzo_poole_coast-html
Eugene Alonzo Poole (American, 1841 - 1912)	SUMMER RIVER LANDSCAPE WITH COWS		eugene_alonzo_poole_cows-html
Eugene Alonzo Poole (American, 1841 - 1912)	Children Fishing		eugene_alonzo_poole_fishing-html
Eugene Alonzo Poole (American, 1841 - 1912)	footbridge Over a Creek		eugene_alonzo_poole_footbridge-html
Eugene Alonzo Poole (American, 1841 - 1912)	Woodland Path		eugene_alonzo_poole_path-html
Eugene Alonzo Poole (American, 1841 - 1912)	River Landscape in Early Autumn	$2,800	eugene_alonzo_poole_river_landscape-html
Eugene Alonzo Poole (American, 1841 - 1912)	SHEEP RANCH, GREENE COUNTY, PENNSYLVANIA	$7,900	eugene_alonzo_poole_sheep-html
Eugene Alonzo Poole (American, 1841 - 1912)	Autumn Landscape with Sheep	$6,900	eugene_alonzo_poole_sheep_landscape-html
Eugene Alonzo Poole (American, 1841 - 1912)	TWO WOMEN AND A CHILD IN A SKIFF ON A LAKE		eugene_alonzo_poole_skiff-html
Eugene Alonzo Poole (American, 1841 - 1912)	Stream through Autumn Landscape	$2,800	eugene_alonzo_poole_stream-html
Eugene Alonzo Poole (American, 1841 - 1912)	Sunset along the Shore		eugene_alonzo_poole_sunset-html
Eugene Alonzo Poole (American, 1841 - 1912)	River Landscape with Waterfall		eugene_alonzo_poole_waterfall-html
Austin C. Wooster (American, 1838 - 1913)	Nature's Bounty		austin_c_wooster_bounty-html
Austin C. Wooster (American, 1838 - 1913)	Still-life with Cantaloupes		austin_c_wooster_canaloupes-html
Austin C. Wooster (American, 1838 - 1913)	Still Life with Fruit, 1893	$6,500	austin_c_wooster_fruit-html
Austin C. Wooster (American, 1838 - 1913)	Still Life with Oranges		austin_c_wooster_oranges-html
Austin C. Wooster (American, 1838 - 1913)	Still Life with a Jug, Apples & Cookies		austin_c_wooster_still_life-html
Austin C. Wooster (American, 1838 - 1913)	Still-life—Oranges, Grapes and Goblet		austin_c_wooster_still_life_oranges_grapes_goblet-html
Barton Stone Hays (American, 1826 - 1914)	Still Life of Apples	$4,500	barton_stone_hays_apple-html
Barton Stone Hays (American, 1826 - 1914)	Apples on Plate and Tablecloth	$4,500	barton_stone_hays_apples-html
Barton Stone Hays (American, 1826 - 1914)	Still-life with Basket, Compote and Cheese Box		barton_stone_hays_basket-html
Barton Stone Hays (American, 1826 - 1914)	Still-life with Creamer		barton_stone_hays_creamer-html
Barton Stone Hays (American, 1826 - 1914)	Still Life with Apples and Grapes		barton_stone_hays_fruit-html
Barton Stone Hays (American, 1826 - 1914)	Still Life with Fruit		barton_stone_hays_fruit_still_life-html
Barton Stone Hays (American, 1826 - 1914)	Dead Game		barton_stone_hays_game-html
Barton Stone Hays (American, 1826 - 1914)	Still-life with Grapes and Peaches		barton_stone_hays_grapes-html
Barton Stone Hays (American, 1826 - 1914)	Still Life of Grapes and Apples		barton_stone_hays_grapes_and_apples-html
Barton Stone Hays (American, 1826 - 1914)	Grapes and Peaches with Basket		barton_stone_hays_grapes_and_basket-html
Barton Stone Hays (American, 1826 - 1914)	Still Life with Grapes and Peaches		barton_stone_hays_grapes_and_peaches-html
Barton Stone Hays (American, 1826 - 1914)	Tender Moments	$3,000	barton_stone_hays_moment-html
Barton Stone Hays (American, 1826 - 1914)	Still-life with Peaches, Grapes and Lemonade	$3,900	barton_stone_hays_peaches-html
Barton Stone Hays (American, 1826 - 1914)	Basket of Peaches and Grapes on a Table		barton_stone_hays_peaches_and_grapes-html
Barton Stone Hays (American, 1826 - 1914)	Still-Life		barton_stone_hays_still_life-html
Barton Stone Hays (American, 1826 - 1914)	Tabletop Still-life	$7,500	barton_stone_hays_tabletop-html
Jules Frederic Ballavoine (French, c. 1844 - 1914)	Young Woman with Flowers	$5,000	jules_frederic_ballavoine_art_flowers-html
Jules Frederic Ballavoine (French, c. 1844 - 1914)	Penning a Love Letter	$9,000	jules_frederic_ballavoine_letter-html
Max Weyl (American, 1837 - 1914)	Fall Rock Creek Park 1876		max_weyl_fall-html
Max Weyl (American, 1837 - 1914)	Rock Creek Park	$5,500	max_weyl_park-html
Max Weyl (American, 1837 - 1914)	Spring Rock Creek Park 1876		max_weyl_spring_creek-html
Max Weyl (American, 1837 - 1914)	Sunset Landscape with Cabin	$5,200	max_weyl_sunset-html
Max Weyl (American, 1837 - 1914)	Wooded Landscape	$4,900	max_weyl_wooded-html
Arthur Hoeber (American, 1854 - 1915)	Serene Marsh		arthur_hoeber_marsh-html
Arthur Hoeber (American, 1854 - 1915)	Wooded Path by Pond		arthur_hoeber_path-html
Arthur Hoeber (American, 1854 - 1915)	The Silent Places		arthur_hoeber_silent_places-html
Francis Hopkinson Smith (American 1838 - 1915)	AMSTERDAM	$18,000	francis_hopkinson_smith_amsterdam-html
Francis Hopkinson Smith (American 1838 - 1915)	Venetian Street	$14,000	francis_hopkinson_smith_street-html
Milne Ramsey (American 1847 - 1915)	Figure on a Path	$5,500	milne_ramsey_path-html
Reuben LeGrande Johnston (American, 1850 - 1915)	Grazing Sheep	$1,800	reuben_legrande_johnston_grazing-html
Reuben LeGrande Johnston (American, 1850 - 1915)	HEADING HOME		reuben_legrande_johnston_home-html
